Id,Prediction
0,0
1,7
2,0
3,0
4,1
5,5
6,0
7,9
8,5
9,1
10,2
11,7
12,0
13,0
14,0
15,5
16,7
17,0
18,0
19,0
20,0
21,0
22,7
23,5
24,0
25,1
26,9
27,0
28,0
29,0
30,8
31,4
32,9
33,0
34,0
35,2
36,9
37,0
38,0
39,3
40,2
41,0
42,0
43,9
44,4
45,4
46,0
47,7
48,3
49,0
50,0
51,0
52,0
53,8
54,4
55,0
56,0
57,0
58,0
59,3
60,0
61,2
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,2
71,4
72,9
73,8
74,0
75,0
76,0
77,0
78,1
79,7
80,2
81,3
82,4
83,0
84,0
85,2
86,3
87,4
88,0
89,1
90,5
91,9
92,7
93,2
94,2
95,4
96,0
97,2
98,0
99,9
100,2
101,8
102,7
103,0
104,0
105,5
106,0
107,4
108,0
109,6
110,2
111,7
112,0
113,0
114,0
115,9
116,0
117,8
118,1
119,0
120,3
121,1
122,4
123,0
124,3
125,4
126,0
127,0
128,0
129,6
130,1
131,2
132,0
133,4
134,4
135,0
136,0
137,4
138,7
139,0
140,9
141,9
142,0
143,4
144,2
145,0
146,9
147,4
148,0
149,0
150,4
151,0
152,0
153,4
154,9
155,5
156,0
157,2
158,0
159,0
160,0
161,8
162,0
163,0
164,7
165,1
166,7
167,0
168,5
169,0
170,1
171,8
172,5
173,0
174,9
175,0
176,0
177,5
178,0
179,3
180,0
181,5
182,0
183,0
184,4
185,0
186,0
187,5
188,0
189,8
190,4
191,1
192,0
193,5
194,4
195,0
196,0
197,8
198,2
199,0
200,4
201,0
202,0
203,9
204,5
205,0
206,1
207,8
208,0
209,5
210,5
211,2
212,0
213,0
214,2
215,4
216,0
217,9
218,3
219,0
220,4
221,9
222,2
223,4
224,4
225,0
226,2
227,3
228,9
229,4
230,5
231,4
232,4
233,0
234,0
235,0
236,0
237,0
238,0
239,9
240,1
241,0
242,0
243,2
244,3
245,9
246,1
247,4
248,0
249,9
250,0
251,0
252,8
253,4
254,0
255,0
256,1
257,2
258,9
259,0
260,0
261,3
262,0
263,3
264,0
265,0
266,0
267,0
268,1
269,5
270,0
271,0
272,0
273,2
274,0
275,0
276,0
277,0
278,4
279,0
280,1
281,0
282,0
283,0
284,3
285,5
286,0
287,0
288,5
289,0
290,2
291,4
292,0
293,7
294,2
295,3
296,0
297,3
298,0
299,4
300,4
301,1
302,7
303,0
304,2
305,9
306,5
307,1
308,0
309,5
310,1
311,1
312,0
313,9
314,8
315,0
316,2
317,2
318,0
319,9
320,4
321,4
322,0
323,8
324,0
325,0
326,2
327,0
328,8
329,0
330,0
331,0
332,0
333,1
334,5
335,0
336,0
337,4
338,2
339,0
340,0
341,0
342,8
343,1
344,0
345,5
346,0
347,0
348,0
349,2
350,0
351,2
352,0
353,4
354,2
355,0
356,0
357,2
358,3
359,1
360,8
361,0
362,2
363,1
364,0
365,4
366,8
367,0
368,2
369,0
370,0
371,4
372,2
373,0
374,4
375,0
376,8
377,0
378,4
379,0
380,4
381,0
382,0
383,3
384,0
385,1
386,0
387,0
388,0
389,0
390,2
391,0
392,5
393,4
394,0
395,0
396,0
397,0
398,2
399,2
400,0
401,3
402,2
403,7
404,0
405,3
406,7
407,4
408,8
409,2
410,2
411,0
412,0
413,0
414,0
415,7
416,0
417,0
418,5
419,8
420,9
421,0
422,0
423,5
424,9
425,0
426,2
427,7
428,0
429,3
430,3
431,5
432,8
433,5
434,1
435,0
436,2
437,0
438,0
439,8
440,4
441,4
442,0
443,4
444,9
445,7
446,2
447,9
448,2
449,8
450,7
451,5
452,2
453,1
454,0
455,0
456,0
457,0
458,3
459,0
460,0
461,8
462,0
463,0
464,5
465,2
466,2
467,0
468,0
469,4
470,0
471,0
472,9
473,0
474,0
475,1
476,4
477,0
478,8
479,0
480,3
481,2
482,9
483,0
484,2
485,0
486,4
487,0
488,1
489,0
490,0
491,1
492,2
493,5
494,0
495,0
496,0
497,8
498,9
499,8
500,0
501,0
502,9
503,2
504,0
505,0
506,0
507,0
508,2
509,7
510,0
511,7
512,2
513,0
514,0
515,1
516,0
517,9
518,9
519,0
520,9
521,0
522,0
523,8
524,8
525,0
526,2
527,1
528,2
529,4
530,0
531,8
532,9
533,0
534,0
535,0
536,4
537,0
538,7
539,0
540,0
541,0
542,1
543,0
544,0
545,0
546,3
547,1
548,0
549,0
550,5
551,8
552,1
553,0
554,0
555,4
556,4
557,9
558,4
559,8
560,0
561,5
562,8
563,0
564,0
565,4
566,5
567,0
568,7
569,2
570,0
571,4
572,0
573,0
574,5
575,7
576,0
577,8
578,0
579,0
580,4
581,0
582,2
583,2
584,3
585,0
586,0
587,8
588,9
589,3
590,5
591,0
592,9
593,2
594,0
595,2
596,1
597,8
598,0
599,0
600,4
601,5
602,0
603,0
604,0
605,0
606,5
607,4
608,5
609,8
610,0
611,0
612,2
613,9
614,4
615,0
616,2
617,4
618,7
619,9
620,5
621,0
622,0
623,0
624,3
625,0
626,9
627,0
628,0
629,9
630,0
631,0
632,0
633,5
634,4
635,0
636,2
637,8
638,7
639,0
640,7
641,9
642,7
643,0
644,0
645,0
646,0
647,0
648,0
649,5
650,8
651,8
652,0
653,0
654,2
655,8
656,2
657,0
658,2
659,0
660,4
661,0
662,2
663,9
664,0
665,0
666,1
667,3
668,5
669,0
670,3
671,0
672,2
673,2
674,3
675,4
676,0
677,1
678,0
679,2
680,7
681,5
